term,subject,course_number,crn,title,restrictions
202631,PHIL,482,60814,ETHICS & ENGINEERING,"Must be enrolled in one of the following Classifications: Junior 60-89 Hours, Senior 90+ Hours"
202631,PHIL,491,39622,HNR-RESEARCH,Must be assigned one of the following Student Attributes: Eligible for Honors Sections
202631,PHIL,491,40821,HNR-RESEARCH,Must be assigned one of the following Student Attributes: Eligible for Honors Sections
202631,PHIL,491,44986,HNR-RESEARCH,Must be assigned one of the following Student Attributes: Eligible for Honors Sections
202631,PHIL,491,47547,HNR-RESEARCH,Must be assigned one of the following Student Attributes: Eligible for Honors Sections
202631,PHIL,606,66016,FOUNDATIONS ANALYTIC PHIL,Must be enrolled in one of the following Levels: Graduate
202631,PHIL,620,66015,CONTEMPORARY PHILOS,Must be enrolled in one of the following Levels: Graduate
202631,PHIL,661,60820,SEM IN HISTORY OF PHIL,Must be enrolled in one of the following Levels: Graduate
202631,PHIL,689,66074,SPTP: AFRICANA PHILOSOPHIES O,Must be enrolled in one of the following Levels: Graduate
202631,PHLT,101,66478,PUBLIC HLTH FIRST YEAR EXP I,"Must be enrolled in one of the following Levels: Undergraduate | Must be enrolled in one of the following Fields of Study Public Health, Public Health (Lower)"
202631,PHLT,101,66480,PUBLIC HLTH FIRST YEAR EXP I,"Must be enrolled in one of the following Levels: Undergraduate | Must be enrolled in one of the following Fields of Study Public Health, Public Health (Lower)"
202631,PHLT,101,66580,PUBLIC HLTH FIRST YEAR EXP I,"Must be enrolled in one of the following Levels: Undergraduate | Must be enrolled in one of the following Fields of Study Public Health, Public Health (Lower)"
202631,PHLT,101,66581,PUBLIC HLTH FIRST YEAR EXP I,"Must be enrolled in one of the following Levels: Undergraduate | Must be enrolled in one of the following Fields of Study Public Health, Public Health (Lower)"
202631,PHLT,101,66582,PUBLIC HLTH FIRST YEAR EXP I,"Must be enrolled in one of the following Levels: Undergraduate | Must be enrolled in one of the following Fields of Study Public Health, Public Health (Lower)"
202631,PHLT,101,66583,PUBLIC HLTH FIRST YEAR EXP I,"Must be enrolled in one of the following Levels: Undergraduate | Must be enrolled in one of the following Fields of Study Public Health, Public Health (Lower)"
202631,PHLT,101,66584,PUBLIC HLTH FIRST YEAR EXP I,"Must be enrolled in one of the following Levels: Undergraduate | Must be enrolled in one of the following Fields of Study Public Health, Public Health (Lower)"
202631,PHLT,101,66585,PUBLIC HLTH FIRST YEAR EXP I,"Must be enrolled in one of the following Levels: Undergraduate | Must be enrolled in one of the following Fields of Study Public Health, Public Health (Lower)"
202631,PHLT,101,66586,PUBLIC HLTH FIRST YEAR EXP I,"Must be enrolled in one of the following Levels: Undergraduate | Must be enrolled in one of the following Fields of Study Public Health, Public Health (Lower)"
202631,PHLT,101,66587,PUBLIC HLTH FIRST YEAR EXP I,"Must be enrolled in one of the following Levels: Undergraduate | Must be enrolled in one of the following Fields of Study Public Health, Public Health (Lower)"
202631,PHLT,101,66590,PUBLIC HLTH FIRST YEAR EXP I,"Must be enrolled in one of the following Levels: Undergraduate | Must be enrolled in one of the following Fields of Study Public Health, Public Health (Lower)"
202631,PHLT,101,66591,PUBLIC HLTH FIRST YEAR EXP I,"Must be enrolled in one of the following Levels: Undergraduate | Must be enrolled in one of the following Fields of Study Public Health, Public Health (Lower)"
202631,PHLT,101,66592,PUBLIC HLTH FIRST YEAR EXP I,"Must be enrolled in one of the following Levels: Undergraduate | Must be enrolled in one of the following Fields of Study Public Health, Public Health (Lower)"
202631,PHLT,101,66593,PUBLIC HLTH FIRST YEAR EXP I,"Must be enrolled in one of the following Levels: Undergraduate | Must be enrolled in one of the following Fields of Study Public Health, Public Health (Lower)"
